Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
202178,58141565,-11,73.1799,32.9398,-64.9188,-7.47092,72.7975,-0.102447,-1.10125,1,11,29.4171,-1.9475,28.2506,7.96746,28.3176,0.277774,1.63962,-1,13,82.0546,-29.2532,32.004,69.6631,43.359,1.25251,2.31132,-1,-13,32.4275,22.2083,13.3432,-19.5008,25.9085,-0.695289,0.541023,1,90.6688,92.1081,209.543
198955,1192523327,-11,163.565,-6.5958,-49.41,155.784,49.8483,1.8573,-1.7035,1,11,138.125,-2.43766,46.5324,130.028,46.5962,1.75004,1.62313,-1,13,593.985,-27.5322,172.876,567.603,175.055,1.89244,1.72873,-1,-13,251.238,-57.3906,38.9723,241.47,69.3724,1.96043,2.54505,1,87.8021,96.1166,253.252
199812,306908284,-11,86.2182,-19.7786,-37.2795,-75.184,42.2013,-1.34145,-2.05858,1,11,9.23305,-2.11101,-8.24123,-3.58818,8.5073,-0.410177,-1.82156,-1,-13,67.1532,43.7373,37.9194,-34.0397,57.8864,-0.558546,0.714271,1,13,77.6738,-38.1382,-2.41831,-67.6228,38.2148,-1.33556,-3.07827,-1,96.6846,18.8309,157.516
201707,565245444,-11,71.3158,-22.6627,66.7968,10.5133,70.5366,0.148502,1.89789,1,11,33.5311,26.8174,-20.0985,-1.10186,33.513,-0.0328725,-0.643155,-1,-13,67.8167,-42.2395,-53.0151,2.07974,67.7847,0.0306768,-2.24355,1,13,48.4375,42.8212,-10.587,-20.011,44.1105,-0.439382,-0.242378,-1,93.3076,95.6449,220.238
198955,742912724,-11,149.654,78.3919,21.1156,125.719,81.186,1.22138,0.263115,1,11,15.4001,-5.99733,-9.0841,-10.8937,10.8853,-0.881923,-2.15431,-1,13,225.454,-66.5943,-26.4816,213.76,71.6664,1.81296,-2.76311,-1,-13,32.9268,2.68408,-32.6236,3.55807,32.7338,0.108484,-1.48871,1,93.1256,109.341,258.244
194790,38426260,11,89.5331,-3.93507,84.0787,30.5198,84.1707,0.355085,1.61756,-1,-11,22.4112,2.37094,-19.1243,-11.4412,19.2707,-0.563422,-1.44745,1,13,68.1802,47.9753,-15.0736,-46.04,50.2876,-0.820369,-0.304428,-1,-13,127.307,-22.5594,19.7162,-123.731,29.9609,-2.12571,2.42335,1,89.1404,93.4101,257.669
201613,9620116,-11,51.2402,36.8156,23.3881,26.8918,43.6164,0.582966,0.565956,1,11,106.662,15.3851,29.2051,101.425,33.0097,1.84116,1.08594,-1,-13,295.529,14.3139,-60.3293,-288.951,62.0042,-2.24352,-1.33784,1,13,153.313,9.3499,32.6474,-149.505,33.9599,-2.18795,1.29187,-1,88.8222,54.5601,515.341
196218,794370838,11,53.3818,-24.5255,47.4055,-0.914297,53.3739,-0.0171292,2.04823,-1,-11,49.6176,37.4555,-16.6271,-27.9737,40.9802,-0.638366,-0.417784,1,-13,124.208,-56.5005,-12.1761,-109.941,57.7976,-1.39901,-2.92933,1,13,24.6497,23.3834,-7.79467,-0.241151,24.6483,-0.00978352,-0.321758,-1,92.3197,93.0584,208.728
199754,504370493,11,94.7075,-49.1192,61.5934,52.5649,78.781,0.625613,2.244,-1,-11,23.3331,7.56642,-21.5949,-4.56534,22.8821,-0.198215,-1.23378,1,-13,50.0983,30.4911,-39.6676,2.56949,50.0323,0.051334,-0.915456,1,13,62.5387,11.62,41.1339,-45.6514,42.7437,-0.928668,1.29548,-1,91.1214,95.1606,226.866
200091,1605749984,11,14.1546,11.1802,-8.48591,1.82908,14.036,0.129948,-0.649243,-1,-11,38.4288,-6.63377,4.672,37.5625,8.11384,2.23705,2.528,1,13,144.141,-20.4721,42.323,136.258,47.0142,1.78576,2.02133,-1,-13,17.331,9.24923,-12.4964,-7.65804,15.547,-0.47456,-0.933628,1,92.3019,34.3236,129.913
200188,309219190,-11,90.7929,-64.378,-59.0553,-24.7245,87.3616,-0.279365,-2.39929,1,11,92.8272,3.50692,-46.5678,-80.2248,46.6997,-1.30985,-1.49563,-1,13,267.534,37.3929,70.8584,255.256,80.1195,1.87566,1.08522,-1,-13,61.7703,34.379,39.843,32.3447,52.6249,0.581326,0.858883,1,91.2226,88.5463,479.151
201196,340900299,-11,157.941,-35.8646,24.021,-151.928,43.1657,-1.9711,2.55145,1,11,44.8224,34.2392,-4.22028,-28.6168,34.4983,-0.755548,-0.12264,-1,13,146.408,6.56971,-34.9634,-142.02,35.5753,-2.09279,-1.38506,-1,-13,37.3917,-18.2606,29.0334,-14.8909,34.2985,-0.421559,2.13223,1,90.1217,94.8126,187.577
201196,134355928,11,79.7758,-31.3442,17.2048,-71.3142,35.7556,-1.44117,2.6396,-1,-11,32.15,26.11,-16.1147,9.6025,30.6825,0.308068,-0.55296,1,-13,50.2063,47.4411,9.31226,13.5383,48.3464,0.276491,0.193827,1,13,46.543,-37.1062,-22.8253,16.3821,43.5645,0.3677,-2.59012,-1,90.42,93.2227,205.801
201202,290344628,11,414.158,14.2734,80.0831,-406.091,81.3452,-2.31091,1.39442,-1,-11,39.5958,10.1448,29.8923,-23.9032,31.5668,-0.698917,1.24361,1,-13,230.795,-10.2759,-73.2498,218.621,73.9671,1.80433,-1.71017,1,13,27.6372,-6.14816,-26.935,0.713109,27.6278,0.0258084,-1.79521,-1,91.1415,91.5038,680.2
167675,876658967,-11,46.2967,-45.4721,-8.6101,-1.24072,46.2801,-0.0268058,-2.95446,1,11,45.8568,43.5367,14.3708,-0.940301,45.8472,-0.020508,0.318824,-1,-11,27.2561,-13.6734,-19.6597,13.0164,23.9472,0.519816,-2.1785,1,11,7.57191,-0.0913048,7.28083,-2.07727,7.2814,-0.281549,1.58334,-1,91.9271,27.3974,125.528
173243,16706390,11,352.097,-58.3284,-8.93069,347.117,59.0081,2.47228,-2.98966,-1,-11,124.22,55.8882,-7.34743,110.694,56.3691,1.4273,-0.130717,1,-11,169.383,23.0043,33.2087,164.495,40.3982,2.11199,0.964974,1,11,28.8255,7.33931,-25.1182,-12.0881,26.1685,-0.446908,-1.28652,-1,91.4178,92.9952,285.96
171106,141954801,11,49.6757,-8.9885,44.2435,-20.7218,45.1473,-0.444228,1.77123,-1,11,68.4708,41.2204,-0.639024,-54.6692,41.2253,-1.09427,-0.0155014,-1,-11,42.6373,-0.600474,-39.7627,15.3787,39.7673,0.377676,-1.5859,1,-11,36.5299,-36.4078,0.928434,-2.83553,36.4196,-0.0777787,3.1161,1,91.5484,87.7217,186.915
163758,113529826,-11,112.039,-19.2226,25.6749,107.35,32.0735,1.92281,2.21346,1,11,26.6863,6.94914,-23.0538,11.506,24.0784,0.461317,-1.27803,-1,-11,10.1663,2.352,-9.35977,-3.19643,9.65076,-0.325435,-1.32461,1,11,12.2376,3.98114,6.14426,9.80604,7.3213,1.10224,0.995867,-1,70.4304,20.1941,100.923
172952,842265702,-11,87.628,41.7576,11.5591,-76.1667,43.3279,-1.32982,0.270053,1,11,37.9247,-20.5105,24.6846,-20.2058,32.0938,-0.59403,2.2641,-1,-11,11.3639,-6.93362,6.40937,-6.32315,9.4422,-0.627642,2.39546,1,11,26.6822,-0.119199,-9.07494,-25.0912,9.07572,-1.74127,-1.58393,-1,68.6352,20.0945,95.4259
163659,344708580,11,61.6886,-50.3627,-15.4488,32.1002,52.6789,0.576831,-2.84395,-1,-11,44.3136,40.6614,-15.9374,7.50629,43.6732,0.171039,-0.37355,1,-11,26.7699,-0.250656,26.4523,4.10358,26.4535,0.154509,1.58027,1,11,18.1029,-13.5592,1.03685,11.9494,13.5988,0.792955,3.06527,-1,92.6746,28.4517,138.193
172799,10347106,11,215.87,-9.38901,113.027,183.675,113.417,1.25926,1.65367,-1,11,97.8731,9.27214,-95.3894,19.8505,95.839,0.20567,-1.4739,-1,-11,49.552,-39.9507,9.24934,27.817,41.0075,0.634832,2.91408,1,-11,51.3601,34.2592,-20.8718,-32.0709,40.1163,-0.732237,-0.54718,1,91.2903,81.9121,363.538
194479,402600389,-11,104.914,-22.7157,63.1244,80.6608,67.0872,1.01746,1.91622,1,-11,74.4964,15.4886,-39.7543,-61.0689,42.665,-1.15607,-1.19928,1,11,22.0451,11.0999,-13.3796,-13.5561,17.3845,-0.716801,-0.878257,-1,11,13.3259,1.02944,12.7616,-3.69621,12.803,-0.284831,1.4903,-1,94.8998,50.1676,213.503
196239,384138657,-11,24.5217,-18.1985,-12.7774,-10.3377,22.2362,-0.449604,-2.52945,1,11,41.5543,0.712127,16.366,38.1891,16.3815,1.58266,1.52731,-1,11,18.6551,11.7973,-10.2824,10.1543,15.6494,0.610271,-0.716897,-1,-11,24.6545,-11.1421,-7.70435,20.5995,13.5463,1.20618,-2.53662,1,57.1987,24.6164,89.6663
194480,863682922,-11,83.2766,-12.7199,51.4181,64.2602,52.968,1.02439,1.81331,1,11,136.576,40.6683,-20.7553,128.718,45.6584,1.75965,-0.471897,-1,-11,229.826,-41.6636,15.7884,225.465,44.5548,2.32422,2.77936,1,11,102.09,-4.94264,-39.6744,93.9358,39.9811,1.58984,-1.69474,-1,93.6941,94.2604,203.769
196531,497827501,11,31.1415,23.4508,-8.013,-18.8585,24.782,-0.701903,-0.329256,-1,-11,30.1838,-14.5558,-6.28717,25.6839,15.8556,1.25946,-2.73386,1,-11,14.2577,11.5684,8.30379,0.707846,14.2401,0.0496874,0.622571,1,11,16.6179,9.31274,7.05903,-11.8151,11.6858,-0.889181,0.6486,-1,58.5713,12.5655,87.1489
194533,873825341,-11,88.7399,45.4355,21.0393,-73.2648,50.0704,-1.1742,0.43366,1,-11,55.5388,-5.35867,-20.6517,-51.2772,21.3356,-1.61073,-1.82468,1,11,58.4356,-11.3334,6.02476,-57.0086,12.8353,-2.19659,2.65299,-1,11,35.9419,5.64009,-7.6696,-34.6581,9.52016,-2.00362,-0.936716,-1,52.8589,13.4782,95.0094
195378,155753218,-11,87.3683,-71.1558,-14.448,-48.5935,72.6078,-0.627302,-2.94127,1,-11,45.1471,19.9095,40.4537,-2.31848,45.0876,-0.051399,1.11344,1,11,56.7583,25.4769,-27.767,-42.4433,37.6839,-0.96792,-0.828385,-1,11,90.8489,-16.1652,-10.9525,-88.7257,19.5262,-2.21883,-2.5461,-1,92.8231,96.5481,208.315
195656,78300349,11,86.077,-18.8296,76.938,-33.6934,79.2086,-0.413492,1.81082,-1,-11,56.2454,-48.233,-25.2404,14.1438,54.438,0.256977,-2.65948,1,11,62.4382,42.9328,-17.4703,41.8341,46.3512,0.810758,-0.38646,-1,-11,37.9297,-23.0772,-27.8047,-11.5329,36.1339,-0.313988,-2.26355,1,95.3938,95.7183,237.725
195304,1069824602,-11,121.276,-8.05469,58.002,106.202,58.5586,1.35702,1.70878,1,11,65.327,49.9192,19.1388,37.5418,53.4624,0.654476,0.366111,-1,11,192.184,38.8569,-12.3428,187.81,40.7702,2.23221,-0.307568,-1,-11,29.4869,-21.8749,-2.72514,-19.5841,22.044,-0.800228,-3.01765,1,93.7073,87.2427,249.092
194480,109881951,-11,56.0401,38.2624,32.5518,24.8368,50.2357,0.476203,0.704929,1,11,54.7005,4.78603,-43.7244,32.5179,43.9856,0.684554,-1.46177,-1,11,52.9764,-42.6466,-9.62107,29.9199,43.7184,0.63982,-2.91971,-1,-11,36.9762,7.84142,19.7696,-30.2475,21.268,-1.15082,1.19319,1,91.3306,87.5567,192.241
195378,579338428,-11,167.336,71.2345,32.6845,147.846,78.3749,1.39165,0.430173,1,-11,67.6578,-53.6228,-25.3181,32.5757,59.2993,0.524905,-2.70047,1,11,45.8509,-6.20022,-29.334,34.6897,29.9821,0.988161,-1.7791,-1,11,35.2854,-6.95929,19.3543,28.6712,20.5674,1.1345,1.91597,-1,88.8163,56.039,201.199
196531,114371709,-11,102.459,68.9875,-43.6185,61.9359,81.6201,0.700198,-0.563808,1,-11,98.4928,-49.5262,-34.5631,77.8035,60.3941,1.07127,-2.53229,1,11,124.376,-4.42589,41.7716,117.068,42.0054,1.74884,1.67636,-1,11,63.7137,-10.1302,23.2825,58.4357,25.3909,1.57086,1.98119,-1,93.4494,96.1581,227.549
202328,318322030,-11,120.38,23.0544,108.896,-45.8425,111.31,-0.401011,1.36217,1,11,110.439,-59.0759,-46.8955,-80.6701,75.4265,-0.929688,-2.47063,-1,-11,36.3286,22.4955,-27.7803,6.47898,35.7462,0.180271,-0.890129,1,11,14.5397,-11.3447,-8.20957,-3.91196,14.0035,-0.275844,-2.51517,-1,95.5085,73.8443,250.381
202016,191382222,11,207.668,110.034,154.184,-85.1228,189.421,-0.435489,0.950968,-1,-11,241.707,-38.0724,-142.53,-191.463,147.528,-1.07711,-1.83182,1,11,156.599,-53.512,-28.9656,-144.294,60.8485,-1.59837,-2.64546,-1,-11,31.1279,21.6484,-13.2534,-18.0178,25.3832,-0.660704,-0.549352,1,90.0934,95.8329,459.05
194050,401484983,11,92.7438,84.7255,-8.66554,36.7138,85.1675,0.418733,-0.101923,-1,-11,67.6137,-38.0564,46.988,30.2564,60.4662,0.481556,2.25155,1,-11,39.3087,-18.0245,-29.8755,18.1039,34.8916,0.498017,-2.11366,1,11,93.0414,-1.96028,-20.2253,90.7953,20.3201,2.20244,-1.66742,-1,92.1871,94.0157,232.157
199569,111437792,11,50.3292,22.4674,-40.3746,19.9533,46.2049,0.419436,-1.063,-1,-11,35.5086,-7.91035,33.3679,9.21244,34.2927,0.265511,1.80356,1,11,48.8061,17.8929,25.6426,-37.4746,31.2681,-1.01501,0.961562,-1,-11,24.4082,-16.033,8.30473,-16.4236,18.0562,-0.815973,2.66367,1,79.0979,36.0478,153.917
202178,487671954,-11,90.4394,48.0646,-62.502,-44.3011,78.8461,-0.535853,-0.91524,1,11,65.6809,-43.2077,-30.9157,-38.6172,53.129,-0.674531,-2.52053,-1,-11,91.8783,8.27262,47.7687,-78.0471,48.4797,-1.25421,1.39932,1,11,28.4592,2.08098,-28.3818,-0.262779,28.458,-0.0092338,-1.49761,-1,93.5288,88.6885,211.477
200466,181152989,-11,166.907,-64.3235,10.0508,-153.686,65.104,-1.59419,2.98659,1,-11,193.762,32.7414,-23.0763,-189.576,40.0564,-2.25863,-0.613944,1,11,25.751,8.24157,20.9611,-12.4829,22.5232,-0.52918,1.19618,-1,11,10.7769,3.01373,8.43587,-5.99126,8.95804,-0.62693,1.22768,-1,75.3255,44.4305,161.959
202469,247836553,11,85.5463,32.2761,-56.0245,56.015,64.6567,0.783641,-1.04813,-1,11,63.7988,-61.4321,12.9501,11.3434,62.7822,0.179709,2.93383,-1,-11,55.2581,11.2653,-41.2519,34.9976,42.7624,0.746988,-1.30421,1,-11,55.062,0.0374109,25.3093,48.9005,25.3093,1.41286,1.56932,1,93.3239,82.3154,201.856
198212,15479119,-11,67.8257,-6.47871,-36.2834,56.9374,36.8573,1.21936,-1.74749,1,11,76.2806,-13.8343,25.1897,70.6599,28.7387,1.63178,2.07303,-1,11,32.1615,14.0222,-8.9518,27.5246,16.636,1.27753,-0.568179,-1,-11,17.7141,1.23616,8.72231,15.3682,8.80947,1.32317,1.43001,1,62.848,20.3693,91.697
201727,43697222,-11,158.849,86.5379,-9.53531,-132.865,87.0617,-1.20916,-0.109744,1,11,73.051,-42.2094,57.2146,-16.7722,71.0995,-0.233763,2.2064,-1,11,159.411,15.8922,-63.9054,-145.174,65.8518,-1.53154,-1.32706,-1,-11,112.454,-57.2814,7.83265,-96.454,57.8144,-1.28465,3.0057,1,89.9894,86.3848,317.193
194119,168130224,11,66.6019,14.5316,55.6719,-33.5452,57.5372,-0.554208,1.31547,-1,11,78.7675,-3.53318,49.9601,-60.7933,50.0849,-1.02478,1.6414,-1,-11,114.544,-23.6287,-33.877,-106.838,41.3033,-1.67895,-2.17983,1,-11,102.678,8.01567,-25.4597,-99.1484,26.6917,-2.02306,-1.26578,1,90.9541,98.1176,197.771
202074,38166085,-11,114.905,-70.6866,34.7552,83.6585,78.7688,0.924595,2.68462,1,-11,58.2864,45.0598,36.2677,7.18165,57.8422,0.123842,0.677709,1,11,60.5111,40.7182,-34.32,-28.7361,53.2526,-0.516364,-0.700338,-1,11,43.985,-32.351,-29.5433,-3.90886,43.8109,-0.0891033,-2.40153,-1,90.7868,79.2881,270.878
202016,559670208,-11,166.8,3.94837,166.432,-10.3462,166.479,-0.062107,1.54708,1,11,414.967,-11.8806,-151.782,386.029,152.247,1.66035,-1.64891,-1,-11,86.2192,24.4404,-3.41183,82.6122,24.6774,1.92301,-0.138702,1,11,13.6753,-7.15423,-8.51946,-7.9529,11.1249,-0.664807,-2.26931,-1,85.5559,85.3805,511.624
200091,1530537922,11,185.16,-28.1325,-71.0389,-168.66,76.4066,-1.53272,-1.94786,-1,11,75.4464,9.88009,-63.6935,-39.2133,64.4553,-0.575998,-1.4169,-1,-11,63.6627,-49.6266,-31.5013,24.4501,58.7803,0.40481,-2.576,1,-11,16.0129,11.4816,5.85226,9.50453,12.887,0.683138,0.471384,1,92.1496,103.021,237.994
198485,174781164,11,247.558,-4.32188,-120.754,216.066,120.832,1.34467,-1.60657,-1,11,147.1,-40.2352,89.8067,109.335,98.4079,0.957754,1.992,-1,-11,175.757,-3.12692,32.0684,172.778,32.2205,2.38114,1.668,1,-11,15.6437,-3.67335,8.09768,12.8708,8.8919,1.16527,1.99667,1,88.9637,64.0893,282.08
201191,1546558727,11,80.5822,-43.4834,-60.4256,30.8453,74.445,0.403314,-2.19457,-1,-11,49.1178,43.8461,12.7335,18.1091,45.6576,0.386904,0.282639,1,-11,35.788,-8.83932,34.2325,-5.54822,35.3553,-0.15629,1.82349,1,11,19.172,12.6246,11.9426,8.0969,17.3783,0.450524,0.757647,-1,97.3568,13.3754,177.277
202972,42783570,11,96.6135,-35.3841,-89.4829,-8.65755,96.2248,-0.0898511,-1.94736,-1,11,111.754,30.3081,22.8752,-105.105,37.9718,-1.7424,0.646537,-1,-11,28.1114,10.6615,21.3785,14.8169,23.8895,0.58609,1.10819,1,-11,24.2807,19.46,13.4372,5.50489,23.6484,0.230728,0.604323,1,92.5686,88.1669,240.055
202333,235647099,11,157.405,-11.2134,-49.3725,149.04,50.6298,1.8005,-1.79413,-1,-11,99.1946,-38.8641,27.7177,86.9534,47.7356,1.36086,2.52207,1,11,33.376,32.1985,-5.86582,6.5426,32.7284,0.198598,-0.180201,-1,-11,13.5253,-3.08638,11.1324,-7.03392,11.5524,-0.576418,1.84125,1,91.1676,85.9338,189.587
200991,98100215,-11,71.1403,-59.3669,10.7768,-37.6879,60.3371,-0.589824,2.96202,1,11,133.965,-32.4606,31.8084,-126.02,45.4474,-1.74407,2.36634,-1,11,55.241,15.4752,-32.4572,-41.9359,35.9577,-0.99419,-1.12589,-1,-11,42.5599,29.7828,-20.0473,-22.8569,35.9014,-0.600003,-0.592454,1,94.0802,85.0634,193.06
194153,93572313,11,73.5696,-47.7167,-52.5303,-19.3948,70.9671,-0.27,-2.30821,-1,-11,59.1011,-43.1283,25.4305,-31.4036,50.0675,-0.59203,2.60882,1,11,82.9851,33.9332,17.6668,-73.6407,38.2567,-1.40954,0.48002,-1,-11,34.5485,-6.43339,32.8109,-8.69828,33.4356,-0.257301,1.76441,1,87.0587,84.925,200.792
201613,3634214,-11,82.5174,53.6388,-4.18079,62.5661,53.8015,0.992007,-0.077786,1,11,43.2942,-42.7485,0.481254,-6.83524,42.7512,-0.159211,3.13034,-1,11,48.147,-35.7074,-17.3561,27.2376,39.702,0.641201,-2.68915,-1,-11,50.9444,19.7616,22.4126,41.2612,29.8805,1.12681,0.848175,1,90.6814,81.5061,187.406
199754,121019123,-11,118.329,-107.615,41.7555,26.0241,115.432,0.223583,2.77147,1,11,111.524,-95.1176,-49.4506,30.7392,107.204,0.282945,-2.66216,-1,11,95.4214,-18.3328,34.999,-86.8575,39.5098,-1.52899,2.05331,-1,-11,19.7097,15.8265,-9.47254,6.94734,18.4447,0.368276,-0.539332,1,91.9275,78.8141,275.749
200991,970724930,-11,178.115,52.6101,1.214,170.164,52.6241,1.88983,0.0230713,1,11,57.561,38.2062,3.32027,42.9247,38.3502,0.963256,0.086686,-1,11,87.456,-29.6576,-23.1188,78.9589,37.6039,1.48738,-2.47946,-1,-11,45.5871,-13.6278,31.0331,-30.4863,33.8935,-0.808475,1.98458,1,93.2768,86.3673,255.197
199752,232018566,11,154.546,110.834,63.8673,-86.7254,127.919,-0.634528,0.522768,-1,-11,137.374,-54.9674,2.72188,-125.868,55.0348,-1.56511,3.09211,1,11,38.7598,-27.4407,27.0875,3.94871,38.5581,0.102231,2.36267,-1,-11,87.7074,16.3727,5.97778,-85.958,17.4299,-2.29895,0.350068,1,92.0816,88.3589,276.259
199754,873005082,11,242.058,17.3676,-122.559,-208.013,123.784,-1.29087,-1.43003,-1,11,206.793,-83.5358,83.4406,-169.773,118.07,-1.15981,2.35676,-1,-11,90.8296,-47.5731,-31.2364,-70.7891,56.9114,-1.04374,-2.56059,1,-11,23.9943,-20.5706,8.32019,9.12982,22.1895,0.400644,2.75724,1,90.5453,92.2912,320.513
202299,421267699,-11,46.8241,32.8725,-27.2768,-19.1802,42.7156,-0.435157,-0.692635,1,11,100.604,-33.0422,14.5218,-93.9073,36.0926,-1.68441,2.72751,-1,11,49.5871,15.998,-3.88096,-46.7748,16.4621,-1.76705,-0.237992,-1,-11,18.375,-11.1547,-3.25374,-14.2348,11.6195,-1.03192,-2.85777,1,93.7213,28.6762,125.164
199608,813802208,-11,123.18,-46.294,-42.134,-106.089,62.5972,-1.29817,-2.4032,1,11,47.9363,35.3628,-4.2591,-32.0816,35.6183,-0.80939,-0.119863,-1,-11,58.5267,14.1325,25.9269,50.5317,29.5285,1.30653,1.07173,1,11,21.4017,-10.3329,11.7194,14.626,15.6241,0.835472,2.2934,-1,91.6879,89.8593,239.927
201278,1723198502,-11,43.6287,40.2628,-8.59506,14.4392,41.17,0.343901,-0.210317,1,11,24.168,-22.2587,7.37674,-5.85013,23.4493,-0.246962,2.82158,-1,11,10.9267,-4.12363,10.0322,-1.32002,10.8467,-0.1214,1.96078,-1,-11,10.824,-8.28312,-5.41336,-4.38675,9.89518,-0.429952,-2.56273,1,64.7841,16.2869,89.2609
201707,805047482,11,63.7193,-1.63931,37.687,51.3532,37.7227,1.1153,1.61427,-1,-11,65.6718,5.6909,-36.1506,54.5301,36.5958,1.18924,-1.41466,1,11,37.346,-26.3683,-12.9181,23.0772,29.3626,0.72165,-2.68605,-1,-11,33.6273,-16.6178,-22.6038,18.5395,28.055,0.620279,-2.20474,1,74.2429,13.9874,125.374
198271,232701194,-11,164.593,49.7445,-7.77135,156.703,50.3479,1.85341,-0.154973,1,11,42.3992,-33.8781,-3.38727,25.2684,34.0471,0.686865,-3.04194,-1,11,33.7477,-8.33709,31.6888,8.07586,32.7671,0.244033,1.82806,-1,-11,21.0988,12.2886,-16.0215,6.12057,20.1915,0.298666,-0.9165,1,96.7253,50.4531,172.234
194076,340846024,11,41.8416,38.2903,-2.22056,-16.7225,38.3546,-0.423248,-0.0579279,-1,-11,35.1455,-31.0518,9.26605,13.6062,32.4049,0.40843,2.8516,1,-11,64.5332,-1.41944,-25.9844,59.0536,26.0231,1.55796,-1.62537,1,11,23.7936,-14.0577,19.1661,1.08521,23.7688,0.0456408,2.20363,-1,85.8411,20.3646,154.949
